Nb de periode :    40
 0.0100
  0.261841E+06  0.149012E-02 -0.135946E+00  0.178814E-03  0.118960E+07  0.161643E-02
  0.458956E-03  0.261841E+06 -0.452578E-01 -0.118960E+07  0.895262E-02 -0.656393E-02
 -0.511169E-01  0.600338E-01  0.229281E+07 -0.158930E+01 -0.135803E+00  0.379613E-03
 -0.147343E-01 -0.115664E+07 -0.364780E+00  0.214200E+08  0.127697E+00  0.574590E-01
  0.115664E+07  0.286102E-02  0.439453E+00  0.250626E+00  0.214200E+08 -0.398141E-02
 -0.474342E-05 -0.172854E-01  0.363798E-09  0.529819E-01  0.860600E-05  0.921014E+04
 0.0867
  0.257718E+06  0.467667E-03  0.668159E-01  0.120273E-01  0.115884E+07  0.391418E-03
  0.462165E-03  0.257718E+06 -0.188415E-01 -0.115884E+07  0.146572E-01 -0.111549E-01
 -0.130287E-01  0.704252E-03  0.201387E+07  0.130674E+01  0.561993E+00  0.723302E-04
  0.550197E-02 -0.112233E+07  0.988417E+00  0.214273E+08  0.325056E+00  0.149952E-01
  0.112233E+07 -0.576606E-02  0.105356E+01  0.257756E+00  0.214273E+08  0.493468E-02
 -0.182815E-04 -0.552748E-02 -0.262354E-09  0.142576E-01 -0.123315E-05  0.106191E+05
 0.1633
  0.259783E+06  0.203775E-02  0.452626E-01  0.113156E-01  0.116583E+07  0.438280E-03
  0.114441E-02  0.259783E+06  0.183923E-03 -0.116583E+07  0.135461E-02 -0.694653E-02
 -0.653948E-01  0.147792E+00  0.195778E+07 -0.126245E+01 -0.890864E+00 -0.389779E-03
 -0.242895E-02 -0.113172E+07  0.455148E+00  0.215105E+08 -0.108415E+00 -0.104938E-01
  0.113172E+07  0.502139E-02 -0.521664E+00  0.165355E-01  0.215105E+08  0.303403E-02
 -0.870246E-05  0.105137E-03  0.615301E-09 -0.393873E-01  0.509507E-05  0.104445E+05
 0.2400
  0.262609E+06  0.150998E-02  0.137711E+00 -0.600815E-02  0.118116E+07  0.670851E-04
 -0.786781E-03  0.262609E+06  0.105262E-01 -0.118116E+07 -0.193119E-01 -0.104106E-01
  0.806173E-01 -0.716209E-01  0.194329E+07  0.140673E+01  0.105743E+01 -0.939161E-04
 -0.416438E-02 -0.114705E+07 -0.171788E+00  0.215968E+08  0.240326E+00  0.363217E-02
  0.114705E+07  0.104586E-01  0.203756E+01 -0.310262E-01  0.215968E+08  0.112901E-02
  0.385298E-04  0.276592E-02 -0.869704E-09 -0.514766E-01  0.406599E-05  0.104323E+05
 0.3167
  0.267223E+06  0.192743E-03 -0.212161E+00 -0.115646E-01  0.120536E+07 -0.156227E-02
 -0.142148E-02  0.267223E+06  0.516821E-01 -0.120536E+07 -0.184551E-01 -0.581616E-02
  0.778680E-01 -0.741818E-01  0.194423E+07  0.372326E+01  0.430972E+00 -0.161234E-04
  0.127692E-02 -0.116899E+07  0.614849E-01  0.217307E+08  0.107454E+00  0.242519E-02
  0.116899E+07  0.722785E-03  0.636822E+00  0.694837E-01  0.217307E+08  0.731652E-05
  0.379787E-04  0.148621E-01  0.101385E-08 -0.134662E+00  0.647226E-05  0.106497E+05
 0.3933
  0.272118E+06 -0.320047E-03 -0.181748E+00 -0.159732E-01  0.123729E+07 -0.906045E-03
  0.397634E-03  0.272118E+06  0.219668E-02 -0.123729E+07 -0.127340E-01 -0.118027E-02
  0.993115E-01 -0.551644E-01  0.193488E+07 -0.951605E+00  0.533799E+00  0.249030E-05
  0.880613E-02 -0.119780E+07 -0.389487E-01  0.219418E+08 -0.237804E+00  0.110909E-01
  0.119780E+07  0.205606E-02  0.154678E+01 -0.190088E+00  0.219418E+08  0.636213E-02
 -0.440605E-04  0.716252E-03 -0.252616E-09 -0.394878E-01 -0.124478E-04  0.108538E+05
 0.4700
  0.279537E+06 -0.819754E-03  0.397118E+00  0.125966E-01  0.128291E+07  0.149314E-02
 -0.170444E-03  0.279537E+06 -0.188422E-01 -0.128291E+07  0.402572E-02 -0.411884E-02
 -0.348030E-01 -0.122460E+00  0.188968E+07  0.177060E+01 -0.158536E+01 -0.351836E-03
  0.100643E-02 -0.124580E+07 -0.434388E+00  0.222677E+08  0.117720E+00 -0.815624E-03
  0.124580E+07 -0.454517E-02 -0.200299E+01 -0.260373E-01  0.222677E+08  0.315871E-02
  0.306241E-04 -0.596436E-02  0.252530E-09  0.260321E-01  0.187218E-05  0.105988E+05
 0.5467
  0.290553E+06  0.188409E-03 -0.586663E+00  0.683854E-02  0.134356E+07  0.213218E-02
  0.809460E-03  0.290553E+06  0.300058E-03 -0.134356E+07 -0.283311E-02  0.169956E-02
  0.263493E-01  0.871147E-01  0.180230E+07 -0.245507E+01 -0.419803E-01 -0.410180E-03
 -0.725723E-02 -0.130470E+07 -0.489026E+00  0.226095E+08 -0.912178E-01 -0.213529E-01
  0.130470E+07 -0.141516E-01 -0.187750E+01  0.169540E+00  0.226095E+08  0.118388E-03
 -0.431793E-06 -0.916274E-02 -0.185670E-08  0.362632E-01 -0.154014E-04  0.106597E+05
 0.6233
  0.301224E+06  0.324351E-03 -0.226287E+00  0.116154E-01  0.140780E+07  0.272908E-02
  0.158504E-02  0.301223E+06 -0.288367E-01 -0.140780E+07  0.708677E-02 -0.127899E-01
 -0.266335E-01 -0.859225E-02  0.169127E+07 -0.227658E-01 -0.363469E+00 -0.188941E-03
 -0.244793E-03 -0.136544E+07 -0.701088E+00  0.230023E+08  0.116326E+00 -0.126501E-01
  0.136544E+07 -0.107709E-02 -0.333702E+00 -0.203178E+00  0.230022E+08  0.636678E-02
